hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
忍不住,忍不住,rěn bu zhù,ren3 bu5 zhu4,5,4096,v,cannot help; unable to bear,,
日常,日常,rì cháng,ri4 chang2,5,5145,b,day-to-day; daily; everyday,,
日程,日程,rì chéng,ri4 cheng2,5,8938,n,schedule; itinerary,,个
日历,日曆,rì lì,ri4 li4,5,13555,n,calendar,,张/本
日期,日期,rì qī,ri4 qi1,5,3928,n,date,,个
日用品,日用品,rì yòng pǐn,ri4 yong4 pin3,5,24114,n,articles for daily use,,件/个
荣幸,榮幸,róng xìng,rong2 xing4,5,6767,a/an,honored (to have the privilege of ...),,
荣誉,榮譽,róng yù,rong2 yu4,5,3668,n,honor; credit; glory; (honorable) reputation; honorary,,
融化,融化,róng huà,rong2 hua4,5,8983,v,to melt; to thaw; to dissolve; to blend into; to combine; to fuse,,
如何,如何,rú hé,ru2 he2,5,391,r,how; what way; what,,
如今,如今,rú jīn,ru2 jin1,5,2487,t,nowadays; now,,
软件,軟件,ruǎn jiàn,ruan3 jian4,5,3539,n,(computer) software,,
弱,弱,ruò,ruo4,5,2968,a,weak; feeble; young; inferior; not as good as; (following a decimal or fraction) slightly less than,,
洒,灑,sǎ,sa3,5,6215,v,to sprinkle; to spray; to spill; to shed,,
嗓子,嗓子,sǎng zi,sang3 zi5,5,8030,n,throat; voice,,把
杀,殺,shā,sha1,5,557,v,to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely,,
沙漠,沙漠,shā mò,sha1 mo4,5,5824,n,desert,,个
沙滩,沙灘,shā tān,sha1 tan1,5,6517,n,beach; sandy shore,,片
傻,傻,shǎ,sha3,5,1197,a/an,foolish,,
晒,曬,shài,shai4,5,3679,v/vn,"(of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share""); (coll.) to give the cold shoulder to",,
删除,刪除,shān chú,shan1 chu2,5,7087,v,to delete; to cancel,,
闪电,閃電,shǎn diàn,shan3 dian4,5,6256,n/v,lightning,,道
扇子,扇子,shàn zi,shan4 zi5,5,24273,n,fan,,把
善良,善良,shàn liáng,shan4 liang2,5,4078,a/an,good and honest; kindhearted,,
善于,善於,shàn yú,shan4 yu2,5,5447,v,to be good at; to be adept at,,
商品,商品,shāng pǐn,shang1 pin3,5,3735,n,commodity; goods; merchandise,,个
商业,商業,shāng yè,shang1 ye4,5,2129,n,business; trade; commerce,,
上当,上當,shàng dàng,shang4 dang4,5,9629,v,taken in (by sb's deceit); to be fooled; to be duped,,
勺子,勺子,sháo zi,shao2 zi5,5,15680,n,scoop; ladle,,把
舌头,舌頭,shé tou,she2 tou5,5,6358,n,tongue; enemy soldier captured for the purpose of extracting information,,个
蛇,蛇,shé,she2,5,3448,n,snake; serpent,,条
